
2024/03/29 (18:51:23) | ===> btop++ v.1.3.2
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (18:51:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/29 (18:51:57) | ===> btop++ v.1.3.2
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (18:51:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/27 (11:03:40) | ===> btop++ v.1.3.0
2024/07/27 (11:03:40) | INFO: Logger set to INFO
2024/07/27 (11:03:40) | INFO: Logger set to DEBUG
2024/07/27 (11:03:43) | INFO: Logger set to INFO
2024/07/27 (14:05:10) | INFO: Quitting! Runtime: 03:02:35

2024/07/31 (19:42:22) | ===> btop++ v.1.3.0
2024/07/31 (19:42:22) | INFO: Logger set to INFO
2024/07/31 (19:42:22) | INFO: Running on /dev/pts/1
2024/07/31 (19:42:22) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/07/31 (19:42:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/31 (19:42:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/31 (19:42:35) | INFO: Quitting! Runtime: 00:00:13

2024/08/07 (20:57:21) | ===> btop++ v.1.3.0
2024/08/07 (20:57:21) | INFO: Logger set to INFO
2024/08/07 (20:57:21) | INFO: Running on /dev/pts/1
2024/08/07 (20:57:21) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/07 (20:57:23) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/07 (20:57:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/07 (20:57:28) | INFO: Quitting! Runtime: 00:00:07

2024/08/08 (10:31:09) | ===> btop++ v.1.3.0
2024/08/08 (10:31:09) | INFO: Logger set to INFO
2024/08/08 (10:31:09) | INFO: Running on /dev/pts/3
2024/08/08 (10:31:09) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/08 (10:31:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/08 (10:31:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (10:31:13) | INFO: Quitting! Runtime: 00:00:04

2024/08/08 (10:31:19) | ===> btop++ v.1.3.0
2024/08/08 (10:31:19) | INFO: Logger set to INFO
2024/08/08 (10:31:19) | INFO: Running on /dev/pts/1
2024/08/08 (10:31:19) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/08 (10:31:22) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/08 (10:31:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/08 (10:46:30) | ===> btop++ v.1.3.0
2024/08/08 (10:46:30) | INFO: Logger set to INFO
2024/08/08 (10:46:30) | INFO: Running on /dev/pts/2
